time,Guage Measurement
0,3183.763
0.0001,3184.281
0.0008,3187.768
0.002,3193.224
0.0048,3203.799
0.0096,3216.63
0.012,3221.209
0.0182,3229.34
0.0216,3232.17
0.0278,3235.686
0.0324,3237.33
0.0396,3238.996
0.0444,3239.712
0.0557,3240.73
0.06,3240.973
0.0888,3241.795
0.1104,3242.08
0.1344,3242.302
0.1776,3242.598
0.2496,3242.953
0.3744,3243.372
0.5376,3243.738
0.7776,3244.104
1.0176,3244.368
1.2576,3244.574
1.4976,3244.743
1.7376,3244.887
1.9776,3245.011
2.2176,3245.122
2.4576,3245.22
2.8176,3245.352
3.1776,3245.467
3.5376,3245.569
3.8976,3245.662
4.2576,3245.746
4.6176,3245.824
4.9776,3245.895
5.3376,3245.962
5.6976,3246.024
6.0576,3246.082
6.4176,3246.137
6.7776,3246.189
7.1376,3246.238
7.4976,3246.285
7.9536,3246.341